Date,Open,High,Low,Close,Adj Close,Volume
2017-05-03,238.770004,238.880005,237.699997,238.479996,238.479996,73137700
2017-05-04,238.830002,238.919998,237.779999,238.759995,238.759995,61462700
2017-05-05,239.190002,239.720001,238.679993,239.699997,239.699997,62001300
2017-05-08,239.750000,239.919998,239.169998,239.660004,239.660004,48385700
2017-05-09,239.960007,240.190002,239.039993,239.440002,239.440002,51363200
2017-05-10,239.389999,239.869995,239.149994,239.869995,239.869995,54293800
2017-05-11,239.350006,239.570007,238.130005,239.380005,239.380005,62358300
2017-05-12,239.089996,239.429993,238.669998,238.979996,238.979996,53912700
2017-05-15,239.470001,240.440002,239.449997,240.300003,240.300003,61918900
2017-05-16,240.639999,240.669998,239.630005,240.080002,240.080002,51241800
2017-05-17,240.080002,240.080002,235.750000,235.820007,235.820007,172174100
2017-05-18,235.729996,237.750000,235.429993,236.770004,236.770004,107047700
2017-05-19,237.330002,239.080002,237.270004,238.309998,238.309998,115011400
2017-05-22,238.899994,239.710007,238.820007,239.520004,239.520004,61010600
2017-05-23,239.949997,240.240005,239.509995,240.050003,240.050003,48341700
2017-05-24,240.320007,240.729996,239.929993,240.610001,240.610001,46927700
2017-05-25,241.199997,242.080002,240.960007,241.759995,241.759995,64071700
2017-05-26,241.539993,241.899994,241.449997,241.710007,241.710007,46629900
2017-05-30,241.339996,241.789993,241.160004,241.500000,241.500000,35201900
2017-05-31,241.839996,241.880005,240.639999,241.440002,241.440002,91796000
2017-06-01,241.970001,243.380005,241.639999,243.360001,243.360001,66864400
2017-06-02,243.419998,244.320007,243.080002,244.304993,244.304993,42938276
